id,url,t,epoch,hashtag_profile,keyword_profile,tag_profile,score
7ce4ee4a-3993-11e7-a59b-26e0451a96fd,https://www.washingtonpost.com/opinions/this-was-not-a-serious-case-for-impeachment/2017/05/16/7ce4ee4a-3993-11e7-a59b-26e0451a96fd_story.html,2017-05-16T22:05:18+00:00,1494972318.0,"{'#impeach': 0.29595015576323985, '#trump': 0.28971962616822433, '#impeachment': 0.24299065420560748, '#trumprussia': 0.17133956386292837}","{'case': 0.2, 'impeachment': 0.2, 'laurence_h_tribe': 0.2, 'president_trump': 0.2, 'sunday_opinion': 0.2}","{'#impeach': 0.2219626168224299, '#trump': 0.21728971962616825, '#impeachment': 0.1822429906542056, '#trumprussia': 0.12850467289719628, 'case': 0.05, 'impeachment': 0.05, 'laurence_h_tribe': 0.05, 'president_trump': 0.05, 'sunday_opinion': 0.05}",0.005178254893770379
56a9ac7ee96a17d11584b5fb58161e6a,https://www.washingtonpost.com/blogs/post-partisan/wp/2016/09/28/chris-christie-should-be-impeached-in-bridge-scandal/,2016-09-28T14:40:21+00:00,1475073621.0,{'#hoboken': 1.0},"{'chris_christie': 0.2, 'impeach_chris_christie': 0.2, 'jersey': 0.2, 'legislature': 0.2, 'time': 0.2}","{'#hoboken': 0.75, 'chris_christie': 0.05, 'impeach_chris_christie': 0.05, 'jersey': 0.05, 'legislature': 0.05, 'time': 0.05}",0.005151121348799429
a3c3b024-6c57-11e5-b31c-d80d62b53e28,https://www.washingtonpost.com/opinions/impeach-the-irs-director/2015/10/07/a3c3b024-6c57-11e5-b31c-d80d62b53e28_story.html,2015-10-07T23:59:11+00:00,1444262351.0,{},"{'director': 0.2, 'horace_greeley': 0.2, 'impeach': 0.2, 'irs': 0.2, 'lois_lerner': 0.2}","{'director': 0.05, 'horace_greeley': 0.05, 'impeach': 0.05, 'irs': 0.05, 'lois_lerner': 0.05}",0.0050560453203243655
5bb60dfc-3bfb-11e7-8854-21f359183e8c,https://www.washingtonpost.com/opinions/considering-impeachment-slow-down/2017/05/18/5bb60dfc-3bfb-11e7-8854-21f359183e8c_story.html,2017-05-19T00:18:17+00:00,1495153097.0,{},"{'constitutional_historical': 0.2, 'federal_impeachment_process': 0.2, 'michael_j_gerhardt': 0.2, 'north_carolina_law_school': 0.2, 'slow': 0.2}","{'constitutional_historical': 0.05, 'federal_impeachment_process': 0.05, 'michael_j_gerhardt': 0.05, 'north_carolina_law_school': 0.05, 'slow': 0.05}",0.005001700278786215
38a26816-2476-11e7-a1b3-faff0034e2de,https://www.washingtonpost.com/politics/auntie-maxine-and-the-quest-for-impeachment/2017/04/29/38a26816-2476-11e7-a1b3-faff0034e2de_story.html,2017-05-01T18:38:00+00:00,1493663880.0,{'#impeach': 1.0},"{'busboys_poets': 0.2, 'crowd': 0.2, 'impeachment': 0.2, 'maxine': 0.2, 'overflow': 0.2}","{'#impeach': 0.75, 'busboys_poets': 0.05, 'crowd': 0.05, 'impeachment': 0.05, 'maxine': 0.05, 'overflow': 0.05}",0.004935944912609739
7bd9d5f4f621fe7444c70ca319105e3b,https://www.washingtonpost.com/news/worldviews/wp/2016/04/16/how-brazils-impeachment-process-works/,2016-04-16T09:00:14+00:00,1460797214.0,"{'#brazil': 0.164969450101833, '#breaking': 0.164969450101833, '#rousseff': 0.15682281059063136, '#dilma': 0.1364562118126273, '#rt': 0.13034623217922606, '#dilmarousseff': 0.13034623217922606, '#news': 0.1160896130346232}","{'brasilia': 0.2, 'brazil': 0.2, 'president_dilma_rousseff': 0.2, 'process': 0.2, 'works': 0.2}","{'#brazil': 0.12372708757637475, '#breaking': 0.12372708757637475, '#rousseff': 0.11761710794297352, '#dilma': 0.10234215885947047, '#rt': 0.09775967413441955, '#dilmarousseff': 0.09775967413441955, '#news': 0.08706720977596741, 'brasilia': 0.05, 'brazil': 0.05, 'president_dilma_rousseff': 0.05, 'process': 0.05, 'works': 0.05}",0.004749013151111346
7bced494-a033-11e5-9ad2-568d814bbf3b,https://www.washingtonpost.com/world/the_americas/brazilian-protesters-demand-presidents-impeachment/2015/12/13/7bced494-a033-11e5-9ad2-568d814bbf3b_story.html,2015-12-13T23:13:34+00:00,1450048414.0,{'#news': 1.0},"{'impeachment': 0.2, 'president_dilma_rousseff': 0.2, 'protesters': 0.2, 'rio_de_janeiro_tens': 0.2, 'thousands': 0.2}","{'#news': 0.75, 'impeachment': 0.05, 'president_dilma_rousseff': 0.05, 'protesters': 0.05, 'rio_de_janeiro_tens': 0.05, 'thousands': 0.05}",0.0047253953509208855
82ce2ea4-374d-11e7-b4ee-434b6d506b37,https://www.washingtonpost.com/opinions/trump-must-be-impeached-heres-why/2017/05/13/82ce2ea4-374d-11e7-b4ee-434b6d506b37_story.html,2017-05-13T19:01:41+00:00,1494702101.0,{},"{'carl_loeb_university_professor': 0.2, 'constitutional_law': 0.2, 'harvard_law_school': 0.2, 'laurence_h_tribe': 0.2, 'trump': 0.2}","{'carl_loeb_university_professor': 0.05, 'constitutional_law': 0.05, 'harvard_law_school': 0.05, 'laurence_h_tribe': 0.05, 'trump': 0.05}",0.004724167421595656
a4608b78-3b32-11e7-9e48-c4f199710b69,https://www.washingtonpost.com/powerpost/impeachment-chatter-ratchets-up-in-halls-of-the-capitol/2017/05/17/a4608b78-3b32-11e7-9e48-c4f199710b69_story.html,2017-05-17T22:53:47+00:00,1495061627.0,{},"{'capitol': 0.2, 'chatter': 0.2, 'democrat': 0.2, 'halls': 0.2, 'rep_al_green': 0.2}","{'capitol': 0.05, 'chatter': 0.05, 'democrat': 0.05, 'halls': 0.05, 'rep_al_green': 0.05}",0.0046196416150227635
134bc44bba026f18d0031ba863e2ca57,https://www.washingtonpost.com/news/post-politics/wp/2016/02/14/trump-walks-back-bush-impeachment-comments/,2016-02-14T16:59:17+00:00,1455469157.0,{'#gopdebate': 1.0},"{'donald_trump': 0.2, 'impeachment': 0.2, 'iraq_war': 0.2, 'president_george_w_bush': 0.2, 'walks': 0.2}","{'#gopdebate': 0.75, 'donald_trump': 0.05, 'impeachment': 0.05, 'iraq_war': 0.05, 'president_george_w_bush': 0.05, 'walks': 0.05}",0.004583723052943667
2509df535333c89ddaedaaa96b9ea63a,https://www.washingtonpost.com/news/post-politics/wp/2017/01/20/the-campaign-to-impeach-president-trump-has-begun/,2017-01-20T17:19:08+00:00,1484932748.0,"{'#inauguration': 0.5882352941176471, '#womensmarch': 0.411764705882353}","{'campaign': 0.25, 'effort': 0.25, 'president_donald_john_trump': 0.25, 'president_trump': 0.25}","{'#inauguration': 0.4411764705882353, '#womensmarch': 0.3088235294117647, 'campaign': 0.0625, 'effort': 0.0625, 'president_donald_john_trump': 0.0625, 'president_trump': 0.0625}",0.004573828184010188
97cc437e-0187-11e6-8bb1-f124a43f84dc,https://www.washingtonpost.com/world/the_americas/a-historic-impeachment-vote-has-brazil-divided/2016/04/16/97cc437e-0187-11e6-8bb1-f124a43f84dc_story.html,2016-04-16T18:39:00+00:00,1460831940.0,"{'#breaking': 0.15084745762711865, '#brazil': 0.13898305084745763, '#rousseff': 0.1305084745762712, '#dilma': 0.12881355932203392, '#follow': 0.12203389830508475, '#rt': 0.11525423728813561, '#news': 0.10677966101694916, '#dilmarousseff': 0.10677966101694916}","{'brasilia_brazil': 0.2, 'dilma_rousseff': 0.2, 'impeachment': 0.2, 'national_congress': 0.2, 'south_america': 0.2}","{'#breaking': 0.11313559322033899, '#brazil': 0.10423728813559321, '#rousseff': 0.0978813559322034, '#dilma': 0.09661016949152544, '#follow': 0.09152542372881356, '#rt': 0.0864406779661017, '#news': 0.08008474576271188, '#dilmarousseff': 0.08008474576271188, 'brasilia_brazil': 0.05, 'dilma_rousseff': 0.05, 'impeachment': 0.05, 'national_congress': 0.05, 'south_america': 0.05}",0.0045724272276991785
